trials.thisRepN,key_resp.keys,key_resp.corr,tilt,,hit,miss,false alarm,correct rejection,
0,down,1,4,,0,0,0,1,
1,down,1,4,,0,0,0,1,
2,up,1,0,,1,0,0,0,
3,up,1,0,,1,0,0,0,
4,up,0,-2,,0,0,1,0,
5,up,1,0,,1,0,0,0,
6,down,1,2,,0,0,0,1,
7,up,1,0,,1,0,0,0,
8,down,1,-3,,0,0,0,1,
9,up,1,0,,1,0,0,0,
10,up,1,0,,1,0,0,0,
11,up,1,0,,1,0,0,0,
12,down,1,-4,,0,0,0,1,
13,down,0,0,,0,1,0,0,
14,up,1,0,,1,0,0,0,
15,down,1,4,,0,0,0,1,
16,up,1,0,,1,0,0,0,
17,down,1,2,,0,0,0,1,
18,up,1,0,,1,0,0,0,
19,down,1,4,,0,0,0,1,
20,down,1,3,,0,0,0,1,
21,up,1,0,,1,0,0,0,
22,up,1,0,,1,0,0,0,
23,up,1,0,,1,0,0,0,
24,down,1,2,,0,0,0,1,
25,up,1,0,,1,0,0,0,
26,up,1,0,,1,0,0,0,
27,up,1,0,,1,0,0,0,
28,up,0,-3,,0,0,1,0,
29,up,0,0,,0,1,0,0,
30,down,0,0,,0,1,0,0,
31,down,1,-5,,0,0,0,1,
32,down,1,-4,,0,0,0,1,
33,up,0,0,,0,1,0,0,
34,up,0,1,,0,0,1,0,
35,up,1,0,,1,0,0,0,
36,up,1,0,,1,0,0,0,
37,up,1,0,,1,0,0,0,
38,down,1,4,,0,0,0,1,
39,up,0,-2,,0,0,1,0,
40,up,1,0,,1,0,0,0,
41,up,0,1,,0,0,1,0,
42,up,1,0,,1,0,0,0,
43,up,0,-2,,0,0,1,0,
44,down,1,4,,0,0,0,1,
45,up,1,0,,1,0,0,0,
46,down,1,2,,0,0,0,1,
47,up,1,0,,1,0,0,0,
48,up,1,0,,1,0,0,0,
49,up,0,2,,0,0,1,0,
50,up,0,1,,0,0,1,0,
51,down,1,-5,,0,0,0,1,
52,up,1,0,,1,0,0,0,
53,up,1,0,,1,0,0,0,
54,up,1,0,,1,0,0,0,
55,up,1,0,,1,0,0,0,
56,up,1,0,,1,0,0,0,
57,down,1,3,,0,0,0,1,
58,up,1,0,,1,0,0,0,
59,down,1,3,,0,0,0,1,
60,up,1,0,,1,0,0,0,
61,up,0,-3,,0,0,1,0,
62,down,1,4,,0,0,0,1,
63,up,1,0,,1,0,0,0,
64,down,1,-4,,0,0,0,1,
65,up,1,0,,1,0,0,0,
66,up,0,1,,0,0,1,0,
67,down,0,0,,0,1,0,0,
68,up,1,0,,1,0,0,0,
69,up,0,-2,,0,0,1,0,
70,up,1,0,,1,0,0,0,
71,up,1,0,,1,0,0,0,
72,up,1,0,,1,0,0,0,
73,up,1,0,,1,0,0,0,
74,down,1,-4,,0,0,0,1,
75,up,1,0,,1,0,0,0,
76,up,1,0,,1,0,0,0,
77,up,1,0,,1,0,0,0,
78,up,0,-1,,0,0,1,0,
79,down,1,1,,0,0,0,1,
80,up,1,0,,1,0,0,0,
81,up,1,0,,1,0,0,0,
82,down,1,4,,0,0,0,1,
83,down,1,0,,1,0,0,0,
84,up,1,0,,1,0,0,0,
85,up,1,0,,1,0,0,0,
86,up,0,1,,0,0,1,0,
87,up,1,0,,1,0,0,0,
88,up,0,1,,0,0,1,0,
89,down,1,-5,,0,0,0,1,
90,down,1,4,,0,0,0,1,
91,down,1,-5,,0,0,0,1,
92,up,1,0,,1,0,0,0,
93,down,1,-3,,0,0,0,1,
94,up,1,0,,1,0,0,0,
95,down,1,-5,,0,0,0,1,
96,down,1,-5,,0,0,0,1,
97,down,1,2,,0,0,0,1,
98,up,1,0,,1,0,0,0,
99,up,1,0,,1,0,0,0,
,,,,,,,,,
,,,,,SUM OF HIT,SUM OF MISS,SUM OF FALSE ALARM,SUM OF CORRECT REJECTION,
,,,,SUM,51,5,14,30,
,,,,,,,,,
,,,,proportional hit,0.910714286,,,,
,,,,proportional false alarm,0.318181818,,,,
,,,,,,,,,
,,,,d-prime,1.817955755,,,,
,,,,criterion,-1.581561195,,,,
